name;category_ids;sku;regular_price;stock;image_id/gallery_image_ids;descripcion;ppum
C. EDRA PIMENTON ESTU. 25x100g;CONDIMENTOS;1450057;1204;95;https://www.cencocal.cl/imagenes/1450057.jpg;;$1000 x KG
ALCAPARRA EDRA 24x110gr;COCTEL Y OTROS SNACKS;1450058;1877;11;https://www.cencocal.cl/imagenes/1450058.jpg;;$1000 x KG
C. EDRA TOMILLO 50x7g;CONDIMENTOS;1450200;377;6;https://www.cencocal.cl/imagenes/1450200.jpg;;$1000 x KG
C. EDRA OREGANO ENTERO 15x50g;CONDIMENTOS;1450201;806;38;https://www.cencocal.cl/imagenes/1450201.jpg;;$1000 x KG
C. EDRA AJI COLOR 25x100g;CONDIMENTOS;1450202;989;45;https://www.cencocal.cl/imagenes/1450202.jpg;;$1000 x KG
C. EDRA ALINO COMPLETO 25x100g;CONDIMENTOS;1450203;1183;48;https://www.cencocal.cl/imagenes/1450203.jpg;;$1000 x KG
C. EDRA COMINO MOLIDO 25x100g;CONDIMENTOS;1450204;1754;26;https://www.cencocal.cl/imagenes/1450204.jpg;;$1000 x KG
C. EDRA CURRY 50x15g;CONDIMENTOS;1450205;286;49;https://www.cencocal.cl/imagenes/1450205.jpg;;$1000 x KG
C. GOURMET AJO POLVO 30x100g;CONDIMENTOS;1450300;1275;1;https://www.cencocal.cl/imagenes/1450300.jpg;;$1000 x KG
C. GOURMET SOFRITO DESHI.40x30;CONDIMENTOS;1450301;490;12;https://www.cencocal.cl/imagenes/1450301.jpg;;$1000 x KG
C. GOURMET MIX F/HIERBAS 50x7g;CONDIMENTOS;1450302;459;69;https://www.cencocal.cl/imagenes/1450302.jpg;;$1000 x KG
C. GOU. CLAVO OLOR ENT. 50x5g;CONDIMENTOS;1450303;428;0;https://www.cencocal.cl/imagenes/1450303.jpg;;$1000 x KG
C. GOU. NUEZ MOSCADA MOL.50x5g;CONDIMENTOS;1450304;479;22;https://www.cencocal.cl/imagenes/1450304.jpg;;$1000 x KG
C. GOURMET BICARBONATO 50x30g;CONDIMENTOS;1450500;204;1;https://www.cencocal.cl/imagenes/1450500.jpg;;$1000 x KG
C. GOURMET AJI COLOR 50x15g;CONDIMENTOS;1450501;265;1;https://www.cencocal.cl/imagenes/1450501.jpg;;$1000 x KG
C. GOURMET ALINO COMP. 50x15g;CONDIMENTOS;1450502;265;6;https://www.cencocal.cl/imagenes/1450502.jpg;;$1000 x KG
C. GOURMET OREGANO ENT. 30x20g;CONDIMENTOS;1450503;490;0;https://www.cencocal.cl/imagenes/1450503.jpg;;$1000 x KG
C. NEGRITA AJI COLOR 50x15g;CONDIMENTOS;1450504;163;400;https://www.cencocal.cl/imagenes/1450504.jpg;;$1000 x KG
C. NEGRITA AJO POLVO 50x15g;CONDIMENTOS;1450505;173;67;https://www.cencocal.cl/imagenes/1450505.jpg;;$1000 x KG
C. NEGRITRA ALINO COMP. 50x15g;CONDIMENTOS;1450506;163;506;https://www.cencocal.cl/imagenes/1450506.jpg;;$1000 x KG
C. NEGRITA ALINO COMP. 100x5g;CONDIMENTOS;1450507;6487;7;https://www.cencocal.cl/imagenes/1450507.jpg;;$1000 x KG
C. NEGRITA BICARBONATO 50x30g;CONDIMENTOS;1450509;163;14;https://www.cencocal.cl/imagenes/1450509.jpg;;$1000 x KG
C. NEGRITA CANELA ENT. 25x60g;CONDIMENTOS;1450510;2846;24;https://www.cencocal.cl/imagenes/1450510.jpg;;$1000 x KG
C. NEGRITA COMINO MOL. 50x15g;CONDIMENTOS;1450511;286;180;https://www.cencocal.cl/imagenes/1450511.jpg;;$1000 x KG
C. NEGRITA OREGANO ENT. 50x20g;CONDIMENTOS;1450512;316;6;https://www.cencocal.cl/imagenes/1450512.jpg;;$1000 x KG
C. NEG. PIMIE/NGA. MOL. 50x15g;CONDIMENTOS;1450513;377;0;https://www.cencocal.cl/imagenes/1450513.jpg;;$1000 x KG
C. EDRA BICARBONATO 25x100g;CONDIMENTOS;1450700;469;20;https://www.cencocal.cl/imagenes/1450700.jpg;;$1000 x KG
C. EDRA BICARBONATO 50x30g;CONDIMENTOS;1450701;143;63;https://www.cencocal.cl/imagenes/1450701.jpg;;$1000 x KG
JALEA NESTLE PINA 48x110gr;YOGHURT Y POSTRES PREPARADOS;1460101;439;89;https://www.cencocal.cl/imagenes/1460101.jpg;;$1000 x KG
YOG. NEST.GRIEGO NAT. 48x120g;YOGHURT Y POSTRES PREPARADOS;1460102;500;46;https://www.cencocal.cl/imagenes/1460102.jpg;;$1000 x KG
YOG. VEGGIE COCO-BERR 48X115G;YOGHURT Y POSTRES PREPARADOS;1460103;602;0;https://www.cencocal.cl/imagenes/1460103.jpg;;$1000 x KG
MANJARATE SOPROLE 36x80gr;YOGHURT Y POSTRES PREPARADOS;1460113;765;102;https://www.cencocal.cl/imagenes/1460113.jpg;;$1000 x KG
YOG. ALERCES FRUT. 48x120g;YOGHURT Y POSTRES PREPARADOS;1460114;200;11;https://www.cencocal.cl/imagenes/1460114.jpg;;$1000 x KG
