name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion,PPUM
CREMA NATUR. CHOCLO 18x60g,INSTANTANEOS Y SOPAS,0400343,390,29,https://www.cencocal.cl/imagenes/0400343.jpg,,$6500 POR KG
CREMA NATUR. CHAMPINON 18x60g,INSTANTANEOS Y SOPAS,0400351,390,33,https://www.cencocal.cl/imagenes/0400351.jpg,,$6500 POR KG
SOPA NATUR. CARACOLITOS 18x55g,INSTANTANEOS Y SOPAS,0400360,390,8,https://www.cencocal.cl/imagenes/0400360.jpg,,$7091 POR KG
CREMA NATUR. POLLO 18x60g,INSTANTANEOS Y SOPAS,0400386,390,10,https://www.cencocal.cl/imagenes/0400386.jpg,,$6500 POR KG
TALLIANI SPAGHETTI #5 25X400,FIDEOS,0403008,1683,26,https://www.cencocal.cl/imagenes/0403008.jpg,,$4208 POR KG
TALLIANI CARACOL #36 30X400,FIDEOS,0403105,1683,3,https://www.cencocal.cl/imagenes/0403105.jpg,,$4208 POR KG
TALIANI RIGATI #48 30X400,FIDEOS,0403156,1683,13,https://www.cencocal.cl/imagenes/0403156.jpg,,
TALLIANI CABELLO #51 30X400,FIDEOS,0403253,1683,15,https://www.cencocal.cl/imagenes/0403253.jpg,,$4208 POR KG
TALLIANI ESPIRAL #56 30X400,FIDEOS,0403300,1683,19,https://www.cencocal.cl/imagenes/0403300.jpg,,$4208 POR KG
TALLIANI TALLARIN #77 25X400.,FIDEOS,040335K,1683,50,https://www.cencocal.cl/imagenes/040335K.jpg,,$4208 POR KG
TALLIANI CORBATAS #88 30X400.,FIDEOS,0403555,1683,38,https://www.cencocal.cl/imagenes/0403555.jpg,,$4208 POR KG
TALLIANI NIDOS FETUC.#90 20X400,FIDEOS,0403601,2193,15,https://www.cencocal.cl/imagenes/0403601.jpg,,$5483 POR KG
LUCCHETTI DEDALITOS #31 48X250,FIDEOS,0405434,816,79,https://www.cencocal.cl/imagenes/0405434.jpg,,$3264 POR KG
LUCCHETTI QUIFAROS N.33 30X400,FIDEOS,0405507,790,51,https://www.cencocal.cl/imagenes/0405507.jpg,,$1975 POR KG
LUCCHETTI CARACOL #36 30x400gr,FIDEOS,0405558,790,81,https://www.cencocal.cl/imagenes/0405558.jpg,,$1975 POR KG
LUCCHETTI CARACOLI.N35 48X250,FIDEOS,0405574,816,67,https://www.cencocal.cl/imagenes/0405574.jpg,,$3264 POR KG
LUCCHETTI MOSTACHOLI N.42 30X400,FIDEOS,0405604,790,79,https://www.cencocal.cl/imagenes/0405604.jpg,,$1975 POR KG
LUCCHETTI CANUTOS N.47 30X400,FIDEOS,0405655,790,39,https://www.cencocal.cl/imagenes/0405655.jpg,,$1975 POR KG
LUCCHETTI RIGATTI N.48 30X400,FIDEOS,0405671,790,42,https://www.cencocal.cl/imagenes/0405671.jpg,,$1975 POR KG
